,adam0,agosti0,alton0,arman0,atthal0,baigne0,bardac0,barris0,bassan0,bauffr0,baye0,beer0,bernhe0,bessie0,bibesc0,billy0,bischo0,blache0,blum0,blumen0,boeuf0,boreve0,branco0,brante0,bregue0,bres0,breteu0,breuil0,brienn0,brouar0,bussy0,calman0,camond0,carama0,castel0,chabri0,chambr0,chaper0,charle0,charpe0,chevre0,cholet0,christi0,clermo0,comte0,coquel0,costa0,courto0,cremie0,critic0,cruppi0,dairea0,dancon0,daudet0,debatp0,devoyo0,douste0,drapie0,droz0,dubami0,duez0,dumain0,duplay0,durfor0,elliss0,errazu0,esslin0,fauchi0,fernan0,ferrar0,finaly0,fitzja0,flers0,fould0,france0,franqu0,fratel0,froiss0,fromen0,gabria0,gagey0,galitz0,ganay0,gander0,germin0,ghika0,goncou0,gontau0,gramed0,gramon0,gregh0,guiche0,guise0,gunzbu0,gutman0,hahn0,hausso0,hebrar0,hennes0,henrau0,heredi0,hesse0,hinnis0,howlan0,humber0,janze0,joncie0,labord0,laisne0,laroch0,lauris0,lebarg0,legend0,lemair0,leonin0,lessep0,lubers0,luynes0,madraz0,maigre0,mailly0,maleis0,manoeu0,marcua0,marx0,maupeo0,meffra0,meline0,meurio0,meyer0,molino0,monfez0,monteb0,murat0,nadar0,nathan0,neubur0,neufvi0,nion0,noaill0,nounez0,ollone0,orlean0,paris0,pillau0,placci0,plante0,poirso0,polign0,porges0,porto0,pouque0,pourta0,pracom0,proust0,puyseg0,radziw0,rehbin0,riance0,rodrig0,rohan0,rosny0,rothsc0,roussy0,salvag0,sardou0,segonz0,segur0,semina0,singer0,stern0,straus0,thomso0,touqui0,ulmann0,valent0,verded0,verdur0,vitali0,vogue0,wallet0,waru0,weil0,weiswe0,winter0,ybarro0,yeatma0,yturbe0
adam0,22,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,4,,,,,2,,,,,,,,,1,,,2,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,4,,1,,1,,,,,,2,,,,,,,,,,,,,,,8,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,
agosti0,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,24,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
alton0,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,1,,,1,,,,,,,,13,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
arman0,,,,62,,1,,,,,,1,,,1,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,2,,4,,33,,,,,1,,,,4,,,,,,,6,,,,,5,,1,,,1,,,,,,,,,2,1,,,6,,,,,,,,,,,,,,,,,,7,2,,,,,,,5,,,,,,,,,2,,1,4,,,29,,,,,,,1,,,,,,,,,2,3,,,,,,,,1,,,,,,,,
atthal0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
baigne0,,,,1,,33,,,,,,2,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,3,,,,,,,,,,,,,,,,5,3,,1,1,,,,,,,,,,3,,,,,,,7,1,,,,2,,,,,,,,,,,,,,2,,1,1,2,,,,,,,,,,,,,,,,1,,4,,1,,,,,,1,,,,,,,,,1,,,,,,10,,,,,,,,1,,,,1,,,,2,3,,,,,,,,,,1,,,,,1,
bardac0,,,,,,,11,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barris0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bassan0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bauffr0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baye0,,,,,,,,,,,5,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
beer0,,,,1,,2,,,,,,25,,,,,2,,,1,,,1,3,,,,,,,,,,,1,,,,,,,,,1,,2,,,,,,,,1,,,,,,,,,,,,,,,,1,,3,2,1,,,,,,,,,2,6,1,,,2,,1,1,2,,,,3,2,,,,4,1,,1,,,1,,,2,,,1,8,,,1,,1,,,,,,,,,,,1,,7,1,1,,,,,,,,,,1,,,,,1,3,2,2,,1,8,,,,,,1,,,,,,1,,1,,4,3,1,,,,,,,,,,,,,,,1
bernhe0,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bessie0,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
bibesc0,1,,,1,,,1,,,,2,,,,238,7,,,5,,,,20,1,,,,,,1,,,,13,2,1,,,,,,,,2,,1,,,,,,,,5,,2,,,,,,,,1,,,,,,17,,2,3,,,,,,,1,,,,,,,,,,1,7,7,,,,17,,,,3,,,,1,,,,,,2,18,,,8,,,1,,1,,,,,,,,1,1,,2,,7,4,3,,,,,1,16,,,1,5,,,1,1,5,,3,1,2,,153,,6,,,,2,,,,,,,,,,,4,,,,,2,,,3,,,1,,,,7,
billy0,,,,,,,,,,,,,,,7,60,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,3,,,,2,1,,,1,,,,,,,6,,,,,,,,,,,,,1,,,,,,,,2,,,,,,1,,1,,,,1,,,,,,,,,,,49,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,
bischo0,,,,,,,,,,,,2,,,,,15,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,3,,,,1,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,3,,,,,,2,,,,,,,,,2,,,1,1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,
blache0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blum0,,,,,,,,,,,,,,,5,,,,24,,,,1,,,,,,,,,,,2,,,,,,,1,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,1,2,2,,,,2,,,,,1,,,,,,,,,2,3,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,4,,,,,,,,,1,,,,,,18,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
blumen0,,,,,,,,,,,,1,,,,,,,,6,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,2,,,,,,,,,,,,3,,,,,,,,,,,,,,1,1,,,4,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,1,,,2,,,,,,,,,,,1,,,,,,
boeuf0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boreve0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branco0,,,,2,,1,,,,,1,1,,,20,,,,1,,,,125,4,,,,2,,,,,,31,2,,,,,,,,,1,,1,,,,,1,,,11,,,,,,,,,1,1,,,,,,6,,2,1,1,2,,,,,4,,,2,1,1,,,,,6,4,3,,,,15,4,,,,,,,,,,,1,,9,3,,,8,1,,1,,2,,,,,,,,1,,,,,10,,,,,,,,26,,,,,,,,2,12,,,,5,1,58,,3,,,,1,,1,,,,,3,2,,2,5,,,,,2,,,2,,,,,,,,1
brante0,,,,,,1,,,,,,3,,,1,,,,,,,,4,33,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,,4,,,,,,,,,,,,,,,,1,,3,1,2,5,,,,,,,,3,2,,,,4,,1,,,,,,3,4,1,,,1,,1,1,,,,,,4,,,,6,,,3,1,,,,,,,,,,,,,,12,1,,,,,,,6,,,,,,,,,3,1,,,1,,14,,,,,,4,,,,,,1,,,,2,4,,,,,1,,1,,,,,,,,,
bregue0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
bres0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
breteu0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
breuil0,,,,,,,,,,,,,,,,,,,,,,,2,,,,,5,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,2,,,,2,2,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,3,,3,,,,,,,,,,,2,2,,,,,,,,2,,,,,,,,,,,
brienn0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brouar0,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
bussy0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calman0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
camond0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carama0,1,,,2,,1,,,,,,,,,13,,,,2,,,,31,4,,,,2,,,,,,87,4,,,,,,,,,1,,,,,,,1,,,9,,,,,,,,,,,,,,,,7,,1,,2,2,,,,,3,,,1,,,,,1,,6,4,5,,,,6,5,1,,,,,1,,,,,1,,8,2,,,9,1,,,,1,,,,,,,,,,,,,11,4,4,,,,,,37,,,,2,,,,,18,,,,6,2,40,,3,,,,2,,1,,,,,3,2,,,7,,,,,6,,1,1,,,,,,,,1
castel0,,,,,,,,,,,,1,,,2,,1,,,2,,,2,,,,1,,,,,,,4,47,2,,,,,,,,3,,1,,,,,1,,,3,,,,,,,,,,,,,,,,6,,2,1,,,,,,,,,,2,1,1,1,1,2,,5,,2,,,,5,2,,,,2,1,,1,,1,,1,,4,1,,,7,,,2,,1,,,,,,,,,,,1,,6,,5,,,,,1,5,,,,,,,,,6,,,1,3,4,10,,2,,,,2,,,,,,1,2,,,3,,1,,,,,,,,,1,,,,,,
chabri0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chambr0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chaper0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charle0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charpe0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chevre0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cholet0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
