,adam0,agosti0,alton0,arman0,atthal0,baigne0,bardac0,barris0,bassan0,bauffr0,baye0,beer0,bernhe0,bessie0,bibesc0,billy0,bischo0,blache0,blum0,blumen0,boeuf0,boreve0,branco0,brante0,bregue0,bres0,breteu0,breuil0,brienn0,brouar0,bussy0,calman0,camond0,carama0,castel0,chabri0,chambr0,chaper0,charle0,charpe0,chevre0,cholet0,christi0,clermo0,comte0,coquel0,costa0,courto0,cremie0,critic0,cruppi0,dairea0,dancon0,daudet0,debatp0,devoyo0,douste0,drapie0,droz0,dubami0,duez0,dumain0,duplay0,durfor0,elliss0,errazu0,esslin0,fauchi0,fernan0,ferrar0,finaly0,fitzja0,flers0,fould0,france0,franqu0,fratel0,froiss0,fromen0,gabria0,gagey0,galitz0,ganay0,gander0,germin0,ghika0,goncou0,gontau0,gramed0,gramon0,gregh0,guiche0,guise0,gunzbu0,gutman0,hahn0,hausso0,hebrar0,hennes0,henrau0,heredi0,hesse0,hinnis0,howlan0,humber0,janze0,joncie0,labord0,laisne0,laroch0,lauris0,lebarg0,legend0,lemair0,leonin0,lessep0,lubers0,luynes0,madraz0,maigre0,mailly0,maleis0,manoeu0,marcua0,marx0,maupeo0,meffra0,meline0,meurio0,meyer0,molino0,monfez0,monteb0,murat0,nadar0,nathan0,neubur0,neufvi0,nion0,noaill0,nounez0,ollone0,orlean0,paris0,pillau0,placci0,plante0,poirso0,polign0,porges0,porto0,pouque0,pourta0,pracom0,proust0,puyseg0,radziw0,rehbin0,riance0,rodrig0,rohan0,rosny0,rothsc0,roussy0,salvag0,sardou0,segonz0,segur0,semina0,singer0,stern0,straus0,thomso0,touqui0,ulmann0,valent0,verded0,verdur0,vitali0,vogue0,wallet0,waru0,weil0,weiswe0,winter0,ybarro0,yeatma0,yturbe0
christi0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clermo0,,,,,,1,,,,,,1,,,2,,,,1,1,,,1,,,,,,,,,,,1,3,,,,,,1,,,29,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,5,,8,,,,7,,,,,,,,,,,1,,,3,,,,7,,,,,,,,,,,,,,,,,,6,,4,,,,,,7,,,1,,,,,,1,,,,,2,13,,3,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,
comte0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coquel0,,,,,,1,,,,,,2,,,1,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,1,,,,,,2,,,,,1,,,1,,,,,,4,,,1,4,,,1,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,1,,,5,,1,,,,3,,,,,,,,,,,4,,,,,,,,,,,,,,,,
costa0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
courto0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cremie0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,14,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,
critic0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cruppi0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,16,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
dairea0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dancon0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daudet0,7,1,,4,,3,,,,,1,1,,,5,2,,,1,1,,,11,4,,,,2,,,,,,9,3,1,,,,,,,,2,,,,,,1,1,,,245,,,,,,,,,5,,1,,,,1,5,,2,2,1,14,,,,,3,,,,4,,,19,1,,4,4,9,,,,29,2,4,,,1,,3,,,,,,,6,3,,,16,1,1,2,,,,,,,,,1,,,,4,,18,2,2,,1,,,1,16,,,2,,,,,1,6,,1,,2,2,143,,3,,,,3,1,2,1,,1,,2,2,1,4,7,2,,,,3,,1,1,,,1,,,,,1
debatp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devoyo0,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
douste0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drapie0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
droz0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dubami0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duez0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dumain0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duplay0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,1,,,14,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
durfor0,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elliss0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
errazu0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esslin0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fauchi0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fernan0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ferrar0,4,,,,1,5,,,,,,1,1,,17,,7,,,,,,6,1,,,1,,,,,,,7,6,,1,2,,,,,,3,1,,,,,,1,,,5,,,1,,,1,,,1,,,,3,,,154,2,2,5,3,2,,,,,1,,,1,1,,1,,2,,9,2,10,,,,30,1,,,,,,,,,,,,,9,1,,,14,,,,,2,,,,,,,,,,,1,,14,2,7,,1,1,,,13,,,,1,,,,,6,1,,2,6,2,19,,5,,,1,1,,1,1,,1,,,,,3,4,2,,,,2,,1,1,,,2,,,,1,
finaly0,,,,2,,3,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,19,,3,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,11,,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,2,
fitzja0,,,,,,,,,,,,3,,,2,,,,1,1,,,2,3,,,,,,,,,,1,2,,,,,,1,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,14,,1,,,,,,1,,,2,4,,,,2,,2,,2,,,,2,2,,,,1,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,1,,3,1,1,,,,,,2,,,,,,,,,4,2,,,2,1,7,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,
flers0,,,,4,,1,,,,,,2,,,3,1,,,1,,,,1,1,,,,,,,,1,,,1,,,,,,,,,,,2,,,,,,1,,2,,,,,,,,,,,,,,,,5,3,,90,,3,,,,,,,,,2,5,,,,,,8,,,,,8,,2,,,4,,,,,,,,,2,1,,,11,,,,,1,,,,,,,1,,,,1,,2,1,,,,,,,1,,,,1,,,2,,,,3,8,,,54,,,,,,,1,,1,,6,2,,1,,3,5,2,,,,,,,2,,1,,,,,2,
fould0,,,,,,1,,,,,,1,,,,,,,,1,,,1,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,1,,26,1,,,,,,,,,2,,,,2,,1,,,,1,,,,,,,,,,1,,,,,,2,2,,,1,1,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,1,,,,1,,9,,1,,,,,,1,,,,,,,,5,3,,,,,,,,,,,,,,,,1
france0,2,,,33,,,,,,,,,,,,,,,1,,,,2,5,,,,,,,,1,,2,,,,,1,1,,,,,,,1,,,,,,,14,,,,,,,,,1,,,,,,,2,,,3,1,135,,,,3,1,,,,2,,,,2,,,10,,,,,12,1,1,,,6,,,1,,,1,,,4,,1,,17,,1,,,,,,,,,,,,,,,,29,1,,,,,,,11,,,,,,,1,,3,,2,3,,,65,,,,,,1,,,,,1,,,,,1,6,1,,,,,,,1,,,1,,,,1,
franqu0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
fratel0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
froiss0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fromen0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,5,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gabria0,,,,1,,,,,,,,,,,1,,,,,,,,4,,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,1,,1,,,1,,,,,20,,,1,,,,,,,3,,3,,,,7,3,,,,1,,,,,,,,,3,,,,5,,,,,,,,,,,,,1,,,,,6,,1,,,,,,2,,1,,,,1,,,3,,,1,2,,5,,2,,,,3,,,,,,,2,2,,,1,,,,,2,,,1,,,,,,,,
gagey0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
galitz0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ganay0,,,,,,,,,,,,2,,,,,,,,,,,2,3,,,,,,,,,,1,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,1,,,,1,,,11,2,,,,3,,,,1,,,,1,3,,,,1,,,1,,1,,1,,,,,,,,,1,,1,,,,,,,,,,,,,3,1,3,,,,,,,,,1,,,,,,3,2,,,1,1,3,,,,,,1,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,
gander0,1,,,4,,3,,,,,,6,,,,,,,,2,,,1,2,1,,,,,,,1,,,1,,,,,,,,,,1,2,,,,,,,,4,,,,,,,,1,,,,,,,,1,,4,2,2,2,,,,1,,,,2,36,,1,1,2,,,4,,,,,4,2,,,,6,1,,,,,,,,2,1,1,1,13,1,,,,,,,,,,,,,,,2,,10,1,1,,,,,,3,,,,1,,,,,1,2,2,,,,17,,,,,,,1,,,,,,,,,5,7,,,,,,,,,,,,,,,,
germin0,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,9,,,,,,,,,,,2,,,,,2,,,,,,,,,2,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghika0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,5,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
goncou0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,36,,,,,,,,,5,,1,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,6,,,,,,,,1,,,,,,,,,,,,,,,14,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
gontau0,,,,,,,,,,,,2,,,,,3,,,,,,,4,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,2,,2,2,,,,,,,,3,2,,,,12,,,,1,,,,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,5,,,,,,5,,,,,,,,,3,1,,,1,1,3,,,,,,,,,,,,,1,,,1,3,,,,,1,,1,,,,,,,,,
gramed0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gramon0,,,,,,,,,,,,1,,,1,1,,,1,,,,6,1,,,,2,,,,,,6,5,,,,,,1,,,5,,1,,,,,,,,4,,,,,,,,,,,,,,,,9,,2,,1,,,,,,3,,,,,,,,,,54,,12,,,,5,3,,,,,1,,1,,,,,,7,,,,4,1,,1,,1,,,,,,,,,,,,,3,1,6,,,,,,8,,,2,,,,,,6,,,,3,1,13,,7,,,,1,,3,,,,1,2,2,,1,1,1,,,,2,,,,,,,,,,,1
gregh0,1,,,6,,7,,,,,,1,,,7,,,,2,,,,4,,,,,,,,,1,,4,,,,,,,,,,,3,,,,,,,,,4,,,,,,,,,1,,,,,,,2,3,,8,,10,,,,,,,,,4,,1,,,,,99,1,,,,7,2,,,,3,,,,,,2,,,1,1,,,4,,,,,,,,,,,,,,,,1,,4,1,,,,,,,9,,,,,,,,1,,,2,,,,41,,1,,,,2,,,,,,1,,,,,4,,,,,,,,2,,1,,,,,4,
